@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric
@attribute outputs-28 numeric
@attribute outputs-29 numeric
@attribute outputs-30 numeric
@attribute outputs-31 numeric
@attribute outputs-32 numeric
@attribute outputs-33 numeric
@attribute outputs-34 numeric
@attribute outputs-35 numeric
@attribute outputs-36 numeric
@attribute outputs-37 numeric
@attribute outputs-38 numeric
@attribute outputs-39 numeric
@attribute outputs-40 numeric

@data
548,'2018/09/29 20:56:57:464',6,185.759903,428.745422,62.288769,190.254944,421.327026,56.730148,193.777756,422.243286,53.288223,176.678131,425.935791,50.501068,144.532364,431.895935,49.585526,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
549,'2018/09/29 20:56:57:513',6,185.271637,428.461975,62.449734,189.264374,421.387207,56.55608,192.648239,422.380249,53.269974,175.608688,426.188049,50.570179,143.572388,431.897888,49.610744,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
550,'2018/09/29 20:56:57:565',6,181.533081,428.040344,62.508854,186.505707,421.486664,56.418701,190.425461,422.65274,53.289192,174.003891,426.213074,50.511375,142.122162,431.587036,49.420235,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
551,'2018/09/29 20:56:57:614',6,180.069275,427.723297,62.56213,184.75824,421.402863,56.178162,189.013962,422.877502,53.260216,172.950668,426.211304,50.434032,141.225861,431.321289,49.238682,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
552,'2018/09/29 20:56:57:664',6,193.039017,430.419189,63.087681,196.303802,423.63681,56.73056,200.74881,424.996582,53.852997,184.737518,428.830719,51.037827,153.986832,435.282745,49.873859,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
553,'2018/09/29 20:56:57:713',6,187.923676,429.502014,63.424786,191.171951,423.587219,57.239616,193.58812,425.34845,54.27446,175.366241,428.94696,51.752239,142.860931,433.486084,50.858875,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
554,'2018/09/29 20:56:57:765',6,189.946396,431.536469,63.538849,193.537003,424.328461,57.581108,195.095947,425.562927,54.599522,176.382584,428.840607,52.144211,143.721741,432.945984,51.281284,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
555,'2018/09/29 20:56:57:814',6,204.648575,435.037659,63.017632,208.267609,424.913635,57.412941,209.291306,426.376404,54.647072,189.933044,429.897491,52.250008,157.956772,435.172974,51.480972,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
556,'2018/09/29 20:56:57:865',6,203.974869,435.737183,62.856651,209.342819,424.969482,57.353256,210.199585,426.880005,54.71302,190.509109,430.345886,52.346508,158.512299,435.508667,51.603683,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
557,'2018/09/29 20:56:57:914',6,202.488159,437.260559,62.237629,210.099976,425.132629,57.073174,210.32962,427.180603,54.485806,190.070129,430.31839,52.159348,157.735092,435.094635,51.507084,0.763016,0.479835,0.999,0.999,0.5,0.999,0,0,0.747283,0,0.196654,0.361843,0.999,0.999,0,0,0,0,0.999,0.416906,0.30678,0.409039,0.999,0.999,0,0.078661,0.117992,0.353976,0.715819,0.432638,0.047197,0.849543,0.999,0.999,0,0,0,0,0.999,0
