@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric
@attribute outputs-27 numeric
@attribute outputs-28 numeric
@attribute outputs-29 numeric
@attribute outputs-30 numeric
@attribute outputs-31 numeric
@attribute outputs-32 numeric
@attribute outputs-33 numeric
@attribute outputs-34 numeric
@attribute outputs-35 numeric
@attribute outputs-36 numeric
@attribute outputs-37 numeric
@attribute outputs-38 numeric
@attribute outputs-39 numeric
@attribute outputs-40 numeric

@data
21,'2018/09/29 19:43:57:603',1,218.205475,369.252258,46.728062,182.547577,365.935608,60.750732,131.436584,394.656433,64.783279,133.219116,420.787018,61.778938,88.288147,448.549561,56.613575,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
22,'2018/09/29 19:43:57:653',1,218.700394,369.286896,46.761795,183.094574,366.105042,60.809509,132.397858,395.093353,64.806877,133.927216,421.040833,61.764328,88.075409,448.477295,56.6273,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
23,'2018/09/29 19:43:57:704',1,218.675674,369.69751,46.74485,183.273315,366.419525,60.829876,132.364532,395.491028,64.797806,134.584686,421.642303,61.643955,89.439484,448.524048,56.452698,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
24,'2018/09/29 19:43:57:754',1,218.4953,370.201233,46.690605,183.150696,366.491394,60.738052,132.041351,395.732025,64.738983,135.356415,421.87442,61.575779,91.711761,448.93512,56.337437,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
25,'2018/09/29 19:43:57:804',1,218.365097,370.768799,46.525932,181.369644,366.756104,60.429405,129.67337,395.441162,64.411324,133.27478,421.572784,61.317226,91.721008,449.219299,55.947136,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
26,'2018/09/29 19:43:57:854',1,218.03154,370.637451,46.541489,181.305008,366.852844,60.453018,130.596497,395.636383,64.409851,133.06192,421.601074,61.327385,91.169159,449.060059,56.004044,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
27,'2018/09/29 19:43:57:904',1,217.623367,370.229797,46.549263,181.160019,366.858398,60.493153,130.406372,395.631409,64.459061,133.959808,421.770538,61.323185,90.635742,448.915863,56.098869,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
28,'2018/09/29 19:43:57:954',1,217.222977,370.046051,46.609375,180.818588,366.709717,60.590996,129.985291,395.436493,64.528046,132.586823,421.529602,61.372742,89.348541,448.428619,56.093307,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
29,'2018/09/29 19:43:58:004',1,217.113541,369.706177,46.748173,180.361847,366.299774,60.671928,128.898102,394.811279,64.623985,132.662903,421.198303,61.46917,90.155304,448.342896,56.169273,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
30,'2018/09/29 19:43:58:054',1,216.861176,369.306274,46.817253,180.234268,366.016785,60.699089,128.883911,394.672089,64.67334,132.857758,421.028778,61.579971,91.101532,448.437469,56.318905,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
31,'2018/09/29 19:43:58:104',1,217.035309,369.33905,46.879253,180.989792,366.268677,60.808495,129.677032,395.156586,64.743378,133.358093,421.400299,61.567123,91.220398,447.911285,56.334961,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
32,'2018/09/29 19:43:58:154',1,217.443634,369.544556,46.882881,181.596298,366.505615,60.788273,130.179596,395.315674,64.740158,133.920502,421.67926,61.546989,92.145172,447.911926,56.323879,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
33,'2018/09/29 19:43:58:205',1,218.18895,369.894989,46.978813,181.953644,366.720062,60.807278,130.625763,395.589996,64.768867,134.743469,422.016632,61.602589,93.862396,448.379852,56.367203,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
34,'2018/09/29 19:43:58:253',1,218.360901,369.954102,46.975319,182.668442,367.434814,60.878536,131.296448,396.348969,64.746582,133.88208,422.295563,61.475075,91.508972,448.019806,56.181782,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
35,'2018/09/29 19:43:58:304',1,218.480072,370.856628,46.490513,180.295975,367.373779,60.196285,128.149384,395.482666,64.078491,130.737579,421.517395,61.003468,90.288086,448.16507,55.656815,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
36,'2018/09/29 19:43:58:354',1,217.721176,370.726624,46.555828,180.441788,367.239594,60.277409,128.224121,395.073395,64.281082,132.21991,421.51355,61.179783,91.076355,448.338257,55.931686,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
37,'2018/09/29 19:43:58:403',1,217.475739,370.350677,46.720703,180.840546,367.073303,60.588066,129.78302,395.742615,64.564102,133.095703,421.894012,61.409653,90.846924,448.304321,56.210804,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
38,'2018/09/29 19:43:58:453',1,217.267899,370.38089,46.785294,180.542175,366.826172,60.565578,129.265564,395.454468,64.563103,133.03479,421.742981,61.453941,91.587799,448.450287,56.278858,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
39,'2018/09/29 19:43:58:504',1,216.993073,370.179352,46.84,180.95636,367.031433,60.621162,128.939545,395.549072,64.628181,133.278778,421.873108,61.446388,91.321442,448.371429,56.264774,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
40,'2018/09/29 19:43:58:553',1,217.028168,370.220398,46.890255,181.112579,367.070374,60.71648,129.975739,395.984985,64.680962,134.047119,422.204956,61.461857,91.47522,448.441071,56.277519,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
41,'2018/09/29 19:43:58:604',1,217.713272,370.013916,46.927608,182.145874,366.99527,60.75457,132.031311,396.276642,64.726791,135.036926,422.183624,61.551277,92.657867,448.451141,56.422516,0.684354,0.574228,0.999,0.999,0.5,0.999,0,0,0.605693,0,0.353976,0.527031,0.999,0.999,0,0,0,0,0.65289,0.416906,0,0.409039,0.999,0.487701,0,0.023598,0,0,0.999,0.432638,0,0.110126,0.999,0.487701,0,0,0,0,0.999,0
